text,Ground truth,TextBlob,BERT
"I changed my review to tell everyone, absolutely do not spend money on this game!! Once you get to a certain level ,it's almost impossible to beat and most upgrades are unreachable unless you spend money, and that doesn't help. I'd give it a zero star rating if I could. I'm going to wait to delete it to get some of my money worth. Has potential if it wasn't set up to pay to simply move on to the next level. Disappointed all the way around.",Negative,Negative,Negative
"Each level you fight off zombies & acquire ""random"" upgrades throughout. The game withholds gun upgrades so you lose a lot. It's not random and offers everything BUT what you need to win. Played 15 matches, lost them all, no gun upgrades at all. So you burn energy and lose until you can't play or spend $$$. The game is SO SLOW and forces you to replay the same boring levels way too much. Upgrades take ages to aquire. UI is slow, cluttered, looks like garbage, not intuitive, and overall just bad.",Negative,Negative,Negative
"Not worth time or money. I do NOT support this game. Down voted and deleted. Tired of extreme power increase per stages and lack of power progression to play. Skill selection is too random, under powered and useless. Half the time the hired mercs are shooting at nothing or shooting behind them. Reported bug with skills aiming lower left of target 90% when at the gate and nothing is fixed or acknowledge. Recommend looking for a better mob game available elsewhere.",Negative,Negative,Negative
Been playing for about 2 months. Fun game but upgrading doesn't seem to make any difference. New levels are much harder than the previous so upgrading your gear and skills make very little difference. Game playability could be better if they made some clear-cut improvements. Players need to feel like they are progressing or they may feel its just a long grind for no reason.,Neutral,Neutral,Neutral
Graphically this game is excellent. I really want to like this game but the balance is so poor 👎. It's not fun when the success of each level is mostly based on luck that you'll be able to get the option that will enable you to win. This is the second time I've given this game a chance and it's more true now than the first time I played it. I've since deleted it. Play another game that doesn't waste your time.,Negative,Positive,Negative
"Pretty good game, cool graphics, and challenging levels. My only issue is that when I choose to invite for a global challenge, I keep getting disconnected. The server may need an upgrade on the games end. Other than that, I have been a little bit of a pay to play gamer, so I hope they fix this issue soon. I'm from North America. Also, the customer service is really good at addressing issues you might have, and they are kind.",Positive,Positive,Positive
"Typical money hungry game. Difficulty level spikes up so fast you can't progress without throwing money at it and those ""first purchase"" options are ridiculous. 40$ for a character skin that barely increases your chance of winning. GTFO with your BS devs. Sad part is the game is cool, but just gets to an unplayable point without throwing away money on diamonds to have a CHANCE of winning decent gear, which btw is .005% as shown right on they're loot box drop rates. Worst kind of greedy",Negative,Neutral,Negative
"I've been playing for a while and finally had to uninstall. There are so many skills and items that you can NOT get that are very beneficial without spending real money. You can't even grind to get them, they're simply unavailable without spending. Leveling up what you can get is so unbalanced. It costs so many resources. They do that so you spend in micro transactions. I've seen unbalanced games before, but this is truly insane. It's too bad, it could be a great game. Greed ruined it again...",Negative,Neutral,Negative
"Was fun for a while, until they merged servers. Went from being consistently in the top ten to being in the top 400... I get it. I do. Merging servers reduces costs, and low costs means more money reinvested into improvements. This is not an improvement. This is just discouraging. This does not make me more likely to buy mtxs. It just makes me want to quit. Oh. Wait... I do. L",Negative,Positive,Negative
"A game the looks alright but is an extreme grind even in comparison to other pay 2 win games. Events are broken, powerups are the pretty much the same, and ""multiplayer"" coop mode is full of cancelations or lack of players. I tried this game for several weeks (I got up to level 61) and all unlockable features were all the same. Not worth any in game purchases.",Negative,Neutral,Negative
"I like the general gameplay, and updates are decent so far. To ""casually"" enjoy the game, you're stuck spending $10 a month to avoid ads, have unlimited auto-runs, and avoid wasted stamina. They haven't yet addressed declining players (common to all games), but if they can make that happen, the game has a chance. As it is now, my guild has like 2 people active, and inactive friends need to be pruned constantly, and this is only after a month or so of playing..",Neutral,Neutral,Neutral
"I want to rate this 4.5. It's good. Solid concept and design. I enjoy it. But the dang thing is buggy as heck. I'm swamped with error messages some days(not always). And always have issues with the ads. A lot of its features are only accessible via watching an ad, which I don't mind... But when it fails to run, you are left with nothing. If it does run, and you click on something accidentally and it opens Google play, you get nothing. It is held back by its bug riddled design centered around ads",Positive,Positive,Positive
"this game is mildly entertaining. I really don't like how some ""upgrades "" actually hurt your damage rating..... it is a pain to keep up with the overwhelming amount of zombies as it is. there is way too large of a variety of upgrades for each weapon as well. then there's the xp. If we are going to have such a huge variety of upgrades maybe allow us to gather more levels in a match. it takes way too long to gain levels when that is your only contribution to gameplay.",Neutral,Positive,Neutral
"Way too dependent on what random upgrades decide to show up. You get a bad run of stuff or the ""incorrect"" stuff for the enemies, you lose. No real strategy or even gameplay to speak of, but if you like watching other people play games, this might be for you, because it's literally watching the app play the game and choosing upgrades for it. The best part was uninstalling it",Negative,Negative,Negative
"Lot of potential. But extremely grindy and poorly balanced. 1-The wheelchair mob's heal spam is ridiculous. 2-You end up repeating the same lvl constantly, until you collect enough resources for marginal power increases. 3-Also, maybe it's just me, but it feels like the game is programmed to make you lose and waste energy half the time. It'll give you useless power-ups and send bullets off in the least optimal trajectory possible. 4-chat lag makes team-ups very frustrating. The game needs work.",Negative,Negative,Negative
"It keeps saying that the platform crashes and that I need to log in but doesn't give me an option to. I uninstall and reinstall and all my information is gone (if the game starts again). I've lost hundreds of hours, money, and I'm beginning to not want to play the game. It's a great game, aesthetics are good, and game play with others makes it fun. But with so many bugs, crashes, and loss of time and money, it's discouraging me to keep playing. That's the problem, I can't get in the game",Neutral,Neutral,Negative
"It sucks that I will miss out on the first 7 day reward, because I just started... but I'm already addicted to this game! UPDATE I missed the 7 day challenge final reward by 10 points (I had 640), because they don't say anywhere in the game how to reset a gear and I couldn't find it. This game needs a tutorial at least. I'm dropping my rating down to 2 stars! I'll give it 1 more week and if things don't improve, I'm just gonna uninstall it!",Negative,Negative,Negative
"it is a good game. no ads unless you want rewards, which is great. my only complaint is that the power upgrades are random, and the more you progress, the less chance you can have any type of build. if there was a way to focus your power ups or even take certain power ups away that you don't use. that would make this game 5 stars for sure.",Neutral,Neutral,Positive
"This game will nickel and dime you if you want to make any progress. You get hard stuck on levels due to the randomness of skills that pop up, most are very weak. Most of the battle passes are tied to using stamina, which you're allotted a max of 30 unless you buy a monthly pass that ups the max. What's also frustrating is that the game will randomly disconnect. Avoid this game if you can. It's a literal waste of time and money.",Negative,Negative,Negative
there's a lot that can be done to improve this game. it's fun as is but can definitely be better. unfortunately the more skills you unlock the less likely the skills you want pop up at level up. improved gun skills should apply to your mercenaries as well. at the end of the round it would be nice to see how much damage your mercenaries did. only 1 reroll on skills per stage is also not great. I could go on but am limited by character count.,Neutral,Neutral,Neutral
game started off very fun and soon turned into a very frustrating experience. Anytime I have tried to make a build for certain abilities the game just starts not letting me pick those abilities making clearing stages next to impossible. it doesn't feel random at all basically whatever I try to use gets shuffled to the very end of a stage if at all.,Negative,Negative,Negative
"On 2nd chance, it was fun til a point where no advancement can be made without becoming one of the overly invested types. If no more chests can be unlocked with free play, then the inevitable uninstalling will happen. I've upgraded, embedded, upgraded the upgrades, blah blah blah, and the same results. It's insanity to keep playing, so I'm done. Uninstalling, again, permanently like.",Negative,Positive,Negative
"The game is a very fast gotcha game. this took me 6 tries to get the first level done perfectly. skill evolution should be done automatically. have an idle mode allow the starting skill to be picked. adding changes would make it better. After giving it a 2nd chance , their response is awful. We gave you an item that requires 16 more levels to use . Then tell you that your gear, gems or skills need to increase. At a point where the response was throw money at the problem. Don't download @all",Neutral,Neutral,Negative
"This game has to have the slowest shooting and reloading gun in history. Enemies can take anywhere from 2 to 6 shots to kill no matter what the damage says. Laser always hits the least amount of enemies possible. Not to mention i cleared a stage on almost perfect, leveled up and replayed and took way more damage. Even purchased the offered gun which looks cool but doesn't make any noticable difference play-wise. Avoid. Juice isnt worth the squeeze.",Negative,Positive,Negative
